adc_raw,lux
23,0.200000
24,0.204384
24,0.208864
25,0.213442
25,0.218121
26,0.222902
26,0.227788
27,0.232781
28,0.237883
28,0.243098
29,0.248426
29,0.253872
30,0.259437
31,0.265123
31,0.270935
32,0.276874
33,0.282943
34,0.289145
34,0.295483
35,0.301959
36,0.308578
37,0.315342
37,0.322255
38,0.329318
39,0.336537
40,0.343914
41,0.351452
42,0.359156
42,0.367028
43,0.375074
44,0.383295
45,0.391697
46,0.400283
47,0.409057
48,0.418023
49,0.427186
50,0.436550
52,0.446119
53,0.455898
54,0.465891
55,0.476103
56,0.486539
57,0.497204
59,0.508102
60,0.519240
61,0.530621
62,0.542253
64,0.554139
65,0.566285
67,0.578698
68,0.591383
70,0.604346
71,0.617593
73,0.631130
74,0.644964
76,0.659102
77,0.673549
79,0.688313
81,0.703401
82,0.718819
84,0.734575
86,0.750677
88,0.767132
90,0.783947
92,0.801131
94,0.818691
96,0.836637
98,0.854976
100,0.873717
102,0.892868
104,0.912440
106,0.932440
109,0.952879
111,0.973766
113,0.995110
116,1.016923
118,1.039214
121,1.061993
123,1.085271
126,1.109060
128,1.133370
131,1.158214
134,1.183601
137,1.209545
140,1.236058
143,1.263152
146,1.290840
149,1.319135
152,1.348050
155,1.377599
158,1.407796
162,1.438654
165,1.470189
169,1.502415
172,1.535348
176,1.569002
179,1.603394
183,1.638540
187,1.674456
191,1.711160
195,1.748668
199,1.786998
203,1.826169
207,1.866198
212,1.907104
216,1.948907
220,1.991627
225,2.035283
230,2.079896
234,2.125486
239,2.172076
244,2.219688
249,2.268342
254,2.318064
260,2.368875
265,2.420800
270,2.473863
276,2.528090
281,2.583505
287,2.640135
293,2.698005
299,2.757145
305,2.817581
311,2.879341
318,2.942456
324,3.006953
331,3.072865
337,3.140221
344,3.209054
351,3.279395
358,3.351279
365,3.424738
372,3.499807
380,3.576522
387,3.654918
395,3.735033
403,3.816904
411,3.900569
419,3.986068
427,4.073442
435,4.162731
444,4.253976
452,4.347222
461,4.442512
470,4.539891
479,4.639404
489,4.741098
498,4.845022
508,4.951223
517,5.059752
527,5.170660
537,5.284000
547,5.399824
558,5.518186
568,5.639143
579,5.762752
590,5.889070
601,6.018156
612,6.150072
623,6.284880
635,6.422643
647,6.563425
659,6.707294
671,6.854315
